ENSEMBL_GENE_ID	Name	Species
ENSG00000183531	ENSG00000183531	Homo sapiens
ENSG00000101280	angiopoietin 4	Homo sapiens
ENSG00000135905	dedicator of cytokinesis 10	Homo sapiens
ENSG00000182263	fidgetin	Homo sapiens
ENSG00000172667	zinc finger, matrin type 3	Homo sapiens
ENSG00000015413	dipeptidase 1 (renal)	Homo sapiens
ENSG00000078549	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	Homo sapiens
ENSG00000007264	megakaryocyte-associated tyrosine kinase	Homo sapiens
ENSG00000172987	heparanase 2	Homo sapiens
ENSG00000141744	phenylethanolamine N-methyltransferase	Homo sapiens
ENSG00000100234	TIMP metallopeptidase inhibitor 3	Homo sapiens
ENSG00000105711	sodium channel, voltage-gated, type I, beta	Homo sapiens
ENSG00000164188	RAN binding protein 3-like	Homo sapiens
ENSG00000004897	cell division cycle 27 homolog (S. cerevisiae)	Homo sapiens
ENSG00000172057	ORM1-like 3 (S. cerevisiae)	Homo sapiens
ENSG00000175866	BAI1-associated protein 2	Homo sapiens
ENSG00000048392	ribonucleotide reductase M2 B (TP53 inducible)	Homo sapiens
ENSG00000188848	BEN domain containing 4	Homo sapiens
ENSG00000166669	activating transcription factor 7 interacting protein 2	Homo sapiens
ENSG00000146285	sex comb on midleg-like 4 (Drosophila)	Homo sapiens
ENSG00000110651	CD81 molecule	Homo sapiens
ENSG00000080546	sestrin 1	Homo sapiens
ENSG00000123892	RAB38, member RAS oncogene family	Homo sapiens
ENSG00000101000	protein C receptor, endothelial (EPCR)	Homo sapiens
ENSG00000112299	vanin 1	Homo sapiens
ENSG00000166405	resistance to inhibitors of cholinesterase 3 homolog (C. elegans)	Homo sapiens
ENSG00000150594	adrenergic, alpha-2A-, receptor	Homo sapiens
ENSG00000123689	G0/G1switch 2	Homo sapiens
ENSG00000072062	protein kinase, cAMP-dependent, catalytic, alpha	Homo sapiens
ENSG00000070540	WD repeat domain, phosphoinositide interacting 1	Homo sapiens
ENSG00000007933	flavin containing monooxygenase 3	Homo sapiens
ENSG00000130518	KIAA1683	Homo sapiens
ENSG00000085662	aldo-keto reductase family 1, member B1 (aldose reductase)	Homo sapiens
ENSG00000204764	RAN binding protein 17	Homo sapiens
ENSG00000048540	LIM domain only 3 (rhombotin-like 2)	Homo sapiens
ENSG00000171551	endothelin converting enzyme-like 1	Homo sapiens
ENSG00000056586	ring finger and CCCH-type zinc finger domains 2	Homo sapiens
ENSG00000147889	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	Homo sapiens
ENSG00000120837	nuclear transcription factor Y, beta	Homo sapiens
ENSG00000166278	complement component 2	Homo sapiens
ENSG00000181938	GINS complex subunit 3 (Psf3 homolog)	Homo sapiens
ENSG00000153930	ankyrin-repeat and fibronectin type III domain containing 1	Homo sapiens
ENSG00000162591	multiple EGF-like-domains 6	Homo sapiens
ENSG00000112576	cyclin D3	Homo sapiens
ENSG00000120690	E74-like factor 1 (ets domain transcription factor)	Homo sapiens
ENSG00000151491	epidermal growth factor receptor pathway substrate 8	Homo sapiens
ENSG00000119138	Kruppel-like factor 9	Homo sapiens
ENSG00000084070	small ArfGAP2	Homo sapiens
ENSG00000126262	free fatty acid receptor 2	Homo sapiens
ENSG00000206195	ENSG00000206195	Homo sapiens
ENSG00000121406	zinc finger protein 549	Homo sapiens
ENSG00000137872	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	Homo sapiens
ENSG00000121933	adenosine A3 receptor	Homo sapiens
ENSG00000105246	Epstein-Barr virus induced 3	Homo sapiens
ENSG00000125945	zinc finger protein 436	Homo sapiens
ENSG00000166025	angiomotin like 1	Homo sapiens
ENSG00000135679	Mdm2 p53 binding protein homolog (mouse)	Homo sapiens
ENSG00000180448	histocompatibility (minor) HA-1	Homo sapiens
ENSG00000124440	hypoxia inducible factor 3, alpha subunit	Homo sapiens
ENSG00000112559	MyoD family inhibitor	Homo sapiens
ENSG00000180539	chromosome 9 open reading frame 139	Homo sapiens
ENSG00000185088	ribosomal protein S27-like	Homo sapiens
ENSG00000175567	uncoupling protein 2 (mitochondrial, proton carrier)	Homo sapiens
ENSG00000131080	ectodysplasin A2 receptor	Homo sapiens
ENSG00000197582	glutathione peroxidase 1	Homo sapiens
ENSG00000161277	THAP domain containing 8	Homo sapiens
ENSG00000087088	BCL2-associated X protein	Homo sapiens
ENSG00000164463	chromosome 5 open reading frame 41	Homo sapiens
ENSG00000136261	basic leucine zipper and W2 domains 2	Homo sapiens
ENSG00000153563	CD8a molecule	Homo sapiens
ENSG00000182836	phosphatidylinositol-specific phospholipase C, X domain containing 3	Homo sapiens
ENSG00000145014	transmembrane protein 44	Homo sapiens
ENSG00000154678	phosphodiesterase 1C, calmodulin-dependent 70kDa	Homo sapiens
ENSG00000109906	zinc finger and BTB domain containing 16	Homo sapiens
ENSG00000143365	RAR-related orphan receptor C	Homo sapiens
ENSG00000173253	doublesex and mab-3 related transcription factor 2	Homo sapiens
ENSG00000143384	myeloid cell leukemia sequence 1 (BCL2-related)	Homo sapiens
ENSG00000140396	nuclear receptor coactivator 2	Homo sapiens
ENSG00000164331	ankyrin repeat, family A (RFXANK-like), 2	Homo sapiens
ENSG00000134574	damage-specific DNA binding protein 2, 48kDa	Homo sapiens
ENSG00000117525	coagulation factor III (thromboplastin, tissue factor)	Homo sapiens
ENSG00000129667	rhomboid 5 homolog 2 (Drosophila)	Homo sapiens
ENSG00000100344	patatin-like phospholipase domain containing 3	Homo sapiens
ENSG00000211829	T cell receptor alpha constant; T cell receptor alpha locus; T cell receptor alpha variable 20; T cell receptor delta locus; T cell receptor delta variable 2	Homo sapiens
ENSG00000140497	secretory carrier membrane protein 2	Homo sapiens
ENSG00000166523	C-type lectin domain family 4, member E	Homo sapiens
ENSG00000143127	integrin, alpha 10	Homo sapiens
ENSG00000164105	Sin3A-associated protein, 30kDa	Homo sapiens
ENSG00000091972	CD200 molecule	Homo sapiens
ENSG00000185818	N-acetyltransferase 8-like (GCN5-related, putative)	Homo sapiens
ENSG00000091831	estrogen receptor 1	Homo sapiens
ENSG00000121210	KIAA0922	Homo sapiens
ENSG00000151572	anoctamin 4	Homo sapiens
ENSG00000113263	IL2-inducible T-cell kinase	Homo sapiens
ENSG00000188389	programmed cell death 1	Homo sapiens
ENSG00000118526	transcription factor 21	Homo sapiens
ENSG00000162402	ubiquitin specific peptidase 24	Homo sapiens
ENSG00000081320	serine/threonine kinase 17b	Homo sapiens
ENSG00000179094	period homolog 1 (Drosophila)	Homo sapiens
ENSG00000161513	ferredoxin reductase	Homo sapiens
ENSG00000122861	plasminogen activator, urokinase	Homo sapiens
ENSG00000137269	leucine rich repeat containing 1	Homo sapiens
ENSG00000114200	butyrylcholinesterase	Homo sapiens
ENSG00000158164	thymosin beta 15a; thymosin beta 15B	Homo sapiens
ENSG00000125249	RAP2A, member of RAS oncogene family	Homo sapiens
ENSG00000153208	c-mer proto-oncogene tyrosine kinase	Homo sapiens
ENSG00000008300	solute carrier family 26, member 6; cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)	Homo sapiens
	ENSG00000256564		
	ENSG00000227954		
	ENSG00000255310		
	ENSG00000267272		
	ENSG00000269124		
	ENSG00000256469		
	ENSG00000235837		
	ENSG00000258590		
	ENSG00000271218		
	ENSG00000233728		
	ENSG00000233276		
	ENSG00000241269		
	ENSG00000267653		
	ENSG00000229160		
	ENSG00000237499		
	ENSG00000271730 		
	ENSG00000259920		
	ENSG00000226302		
	ENSG00000233473		
	ENSG00000223875		
	ENSG00000272870		
	ENSG00000241732		
	ENSG00000270164		
	ENSG00000259828		
	ENSG00000228495		
	ENSG00000245848		
	ENSG00000254126		
	ENSG00000256682		
	ENSG00000240535		
	ENSG00000272211		
	ENSG00000259917		
	ENSG00000239636		
